year,month,habitat,module,plot,trt,spp,percov,comments
2009,JUN,unveg,5,5C,C,TYPSPP,0.1,changed from TYPLAT to TYPSPP ck 23aug17
2009,JUN,unveg,5,5C,C,DET,5,
2009,JUN,unveg,5,5C,C,TRASH,2,
2009,JUN,unveg,5,5C,C,BARE,85,
2009,JUN,unveg,5,5X,X,DET,5,
2009,JUN,unveg,5,5X,X,BARE,95,
2009,JUN,unveg,6,6C,C,DET,5,
2009,JUN,unveg,6,6C,C,BARE,95,
2009,JUN,unveg,6,6X,X,DET,5,
2009,JUN,unveg,6,6X,X,BARE,95,
2009,JUN,unveg,9,9C,C,PERSPP,0.1,
2009,JUN,unveg,9,9C,C,DET,2,
2009,JUN,unveg,9,9C,C,BARE,98,
2009,JUN,unveg,9,9C,C,TRASH,0.5,
2009,JUN,unveg,9,9X,X,DET,1,
2009,JUN,unveg,9,9X,X,BARE,99,
2009,JUN,unveg,10,10C,C,DET,1,
2009,JUN,unveg,10,10C,C,BARE,99,
2009,JUN,unveg,10,10X,X,DET,1,
2009,JUN,unveg,10,10X,X,BARE,99,
2009,JUN,unveg,13,13C,C,PERSPP,0.5,
2009,JUN,unveg,13,13C,C,DET,3,
2009,JUN,unveg,13,13C,C,BARE,97,
2009,JUN,unveg,13,13X,X,DET,20,
2009,JUN,unveg,13,13X,X,PERSPP,0.5,
2009,JUN,unveg,13,13X,X,BARE,80,
2009,JUN,unveg,13,13X,X,TRASH,0.5,
2009,JUN,unveg,14,14C,C,PERSPP,1,
2009,JUN,unveg,14,14C,C,DET,2,
2009,JUN,unveg,14,14C,C,TRASH,0.5,
2009,JUN,unveg,14,14C,C,BARE,97,
2009,JUN,unveg,14,14X,X,PERSPP,0.5,
2009,JUN,unveg,14,14X,X,DET,8,
2009,JUN,unveg,14,14X,X,TRASH,4,
2009,JUN,unveg,14,14X,X,BARE,88,
2009,JUN,unveg,15,15C,C,PERSPP,4,
2009,JUN,unveg,15,15C,C,PELVIR,0.1,
2009,JUN,unveg,15,15C,C,UNKALT,0.5,
2009,JUN,unveg,15,15C,C,DET,0.5,
2009,JUN,unveg,15,15C,C,BARE,95,
2009,JUN,unveg,15,15X,X,UNKSDG,0.1,
2009,JUN,unveg,15,15X,X,DET,0.5,
2009,JUN,unveg,15,15X,X,BARE,99,
2009,JUN,unveg,16,16C,C,PERSPP,2,
2009,JUN,unveg,16,16C,C,DET,4,
2009,JUN,unveg,16,16C,C,BARE,96,
